Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
QCL,Crops and livestock products,004,Afghanistan,5510,Production,01371,"Almonds, in shell",2010,2010,t,56000,A,Official figure,
QCL,Crops and livestock products,004,Afghanistan,5510,Production,01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2010,2010,t,10200,E,Estimated value,
QCL,Crops and livestock products,004,Afghanistan,5510,Production,01341,Apples,2010,2010,t,59850,A,Official figure,
QCL,Crops and livestock products,004,Afghanistan,5510,Production,01343,Apricots,2010,2010,t,66560,A,Official figure,
QCL,Crops and livestock products,004,Afghanistan,5510,Production,0115,Barley,2010,2010,t,437000,A,Official figure,
QCL,Crops and livestock products,004,Afghanistan,5510,Production,01229,Cantaloupes and other melons,2010,2010,t,350000,E,Estimated value,
QCL,Crops and livestock products,004,Afghanistan,5510,Production,01315,Figs,2010,2010,t,8658,A,Official figure,
QCL,Crops and livestock products,004,Afghanistan,5510,Production,01330,Grapes,2010,2010,t,397000,X,Figure from international organizations,Unofficial figure
QCL,Crops and livestock products,004,Afghanistan,5510,Production,01441,Linseed,2010,2010,t,1200,E,Estimated value,
QCL,Crops and livestock products,004,Afghanistan,5510,Production,0112,Maize (corn),2010,2010,t,301000,A,Official figure,
QCL,Crops and livestock products,004,Afghanistan,5510,Production,0118,Millet,2010,2010,t,15000,A,Official figure,
QCL,Crops and livestock products,004,Afghanistan,5510,Production,01450,Olives,2010,2010,t,7300,A,Official figure,
QCL,Crops and livestock products,004,Afghanistan,5510,Production,01253.02,"Onions and shallots, dry (excluding dehydrated)",2010,2010,t,309763.13,I,Imputed value,
QCL,Crops and livestock products,004,Afghanistan,5510,Production,01323,Oranges,2010,2010,t,2000,A,Official figure,
QCL,Crops and livestock products,004,Afghanistan,5510,Production,01355.90,Other berries and fruits of the genus vaccinium n.e.c.,2010,2010,t,29764.75,I,Imputed value,
QCL,Crops and livestock products,004,Afghanistan,5510,Production,01329,"Other citrus fruit, n.e.c.",2010,2010,t,2000,E,Estimated value,
QCL,Crops and livestock products,004,Afghanistan,5510,Production,01359.90,"Other fruits, n.e.c.",2010,2010,t,100956,A,Official figure,
QCL,Crops and livestock products,004,Afghanistan,5510,Production,01379.90,"Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.",2010,2010,t,1003.49,I,Imputed value,
QCL,Crops and livestock products,004,Afghanistan,5510,Production,01709.90,Other pulses n.e.c.,2010,2010,t,53300,E,Estimated value,
QCL,Crops and livestock products,004,Afghanistan,5510,Production,01349.20,Other stone fruits,2010,2010,t,45000,E,Estimated value,
QCL,Crops and livestock products,004,Afghanistan,5510,Production,01290.90,"Other vegetables, fresh n.e.c.",2010,2010,t,660000,E,Estimated value,
QCL,Crops and livestock products,004,Afghanistan,5510,Production,01345,Peaches and nectarines,2010,2010,t,13400,A,Official figure,
QCL,Crops and livestock products,004,Afghanistan,5510,Production,01342.01,Pears,2010,2010,t,2418.64,I,Imputed value,
QCL,Crops and livestock products,004,Afghanistan,5510,Production,01375,"Pistachios, in shell",2010,2010,t,2559.83,I,Imputed value,
QCL,Crops and livestock products,004,Afghanistan,5510,Production,01346,Plums and sloes,2010,2010,t,31081.73,I,Imputed value,
QCL,Crops and livestock products,004,Afghanistan,5510,Production,01510,Potatoes,2010,2010,t,246000,A,Official figure,
QCL,Crops and livestock products,004,Afghanistan,5510,Production,0113,Rice,2010,2010,t,672000,A,Official figure,
QCL,Crops and livestock products,004,Afghanistan,5510,Production,01921.01,"Seed cotton, unginned",2010,2010,t,33000,A,Official figure,
QCL,Crops and livestock products,004,Afghanistan,5510,Production,01444,Sesame seed,2010,2010,t,32000,X,Figure from international organizations,Unofficial figure
QCL,Crops and livestock products,004,Afghanistan,5510,Production,01801,Sugar beet,2010,2010,t,15200,A,Official figure,
QCL,Crops and livestock products,004,Afghanistan,5510,Production,01802,Sugar cane,2010,2010,t,92400,A,Official figure,
QCL,Crops and livestock products,004,Afghanistan,5510,Production,01445,Sunflower seed,2010,2010,t,245,E,Estimated value,
QCL,Crops and livestock products,004,Afghanistan,5510,Production,01376,"Walnuts, in shell",2010,2010,t,11900,A,Official figure,
QCL,Crops and livestock products,004,Afghanistan,5510,Production,01221,Watermelons,2010,2010,t,251420,A,Official figure,
QCL,Crops and livestock products,004,Afghanistan,5510,Production,0111,Wheat,2010,2010,t,4532000,A,Official figure,
QCL,Crops and livestock products,008,Albania,5510,Production,01341,Apples,2010,2010,t,54604,A,Official figure,
QCL,Crops and livestock products,008,Albania,5510,Production,01343,Apricots,2010,2010,t,3471,A,Official figure,
QCL,Crops and livestock products,008,Albania,5510,Production,0115,Barley,2010,2010,t,7300,A,Official figure,
QCL,Crops and livestock products,008,Albania,5510,Production,01701,"Beans, dry",2010,2010,t,24000,A,Official figure,
QCL,Crops and livestock products,008,Albania,5510,Production,01702,"Broad beans and horse beans, dry",2010,2010,t,200,E,Estimated value,
QCL,Crops and livestock products,008,Albania,5510,Production,01243,"Broad beans and horse beans, green",2010,2010,t,102.94,I,Imputed value,
QCL,Crops and livestock products,008,Albania,5510,Production,01212,Cabbages,2010,2010,t,35832,A,Official figure,
QCL,Crops and livestock products,008,Albania,5510,Production,01229,Cantaloupes and other melons,2010,2010,t,64622,A,Official figure,
QCL,Crops and livestock products,008,Albania,5510,Production,01251,Carrots and turnips,2010,2010,t,6303,A,Official figure,
QCL,Crops and livestock products,008,Albania,5510,Production,01213,Cauliflowers and broccoli,2010,2010,t,4601,A,Official figure,
QCL,Crops and livestock products,008,Albania,5510,Production,01344.02,Cherries,2010,2010,t,12528,A,Official figure,
QCL,Crops and livestock products,008,Albania,5510,Production,01373,"Chestnuts, in shell",2010,2010,t,5449.53,I,Imputed value,
QCL,Crops and livestock products,008,Albania,5510,Production,01231,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2010,2010,t,65475,A,Official figure,
QCL,Crops and livestock products,008,Albania,5510,Production,01232,Cucumbers and gherkins,2010,2010,t,68959,A,Official figure,
QCL,Crops and livestock products,008,Albania,5510,Production,01314,Dates,2010,2010,t,10921,A,Official figure,
QCL,Crops and livestock products,008,Albania,5510,Production,01233,Eggplants (aubergines),2010,2010,t,23641,A,Official figure,
QCL,Crops and livestock products,008,Albania,5510,Production,01315,Figs,2010,2010,t,18387,A,Official figure,
QCL,Crops and livestock products,008,Albania,5510,Production,01330,Grapes,2010,2010,t,184900,A,Official figure,
QCL,Crops and livestock products,008,Albania,5510,Production,01252,Green garlic,2010,2010,t,8132,A,Official figure,
QCL,Crops and livestock products,008,Albania,5510,Production,01659,Hop cones,2010,2010,t,1550,E,Estimated value,
QCL,Crops and livestock products,008,Albania,5510,Production,01254,Leeks and other alliaceous vegetables,2010,2010,t,20682,A,Official figure,
QCL,Crops and livestock products,008,Albania,5510,Production,01322,Lemons and limes,2010,2010,t,1637,A,Official figure,
QCL,Crops and livestock products,008,Albania,5510,Production,01214,Lettuce and chicory,2010,2010,t,8995,A,Official figure,
QCL,Crops and livestock products,008,Albania,5510,Production,0112,Maize (corn),2010,2010,t,362000,A,Official figure,
QCL,Crops and livestock products,008,Albania,5510,Production,01270,Mushrooms and truffles,2010,2010,t,100,E,Estimated value,
QCL,Crops and livestock products,008,Albania,5510,Production,0117,Oats,2010,2010,t,27300,A,Official figure,
QCL,Crops and livestock products,008,Albania,5510,Production,01239.01,Okra,2010,2010,t,7872.86,I,Imputed value,
QCL,Crops and livestock products,008,Albania,5510,Production,01450,Olives,2010,2010,t,70000,A,Official figure,
QCL,Crops and livestock products,008,Albania,5510,Production,01253.02,"Onions and shallots, dry (excluding dehydrated)",2010,2010,t,70344,A,Official figure,
QCL,Crops and livestock products,008,Albania,5510,Production,01253.01,"Onions and shallots, green",2010,2010,t,33415,A,Official figure,
QCL,Crops and livestock products,008,Albania,5510,Production,01323,Oranges,2010,2010,t,6631,A,Official figure,
QCL,Crops and livestock products,008,Albania,5510,Production,01241.90,"Other beans, green",2010,2010,t,9307,A,Official figure,
QCL,Crops and livestock products,008,Albania,5510,Production,01329,"Other citrus fruit, n.e.c.",2010,2010,t,200,E,Estimated value,
QCL,Crops and livestock products,008,Albania,5510,Production,01359.90,"Other fruits, n.e.c.",2010,2010,t,8947,A,Official figure,
QCL,Crops and livestock products,008,Albania,5510,Production,01379.90,"Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.",2010,2010,t,5166.84,I,Imputed value,
QCL,Crops and livestock products,008,Albania,5510,Production,01709.90,Other pulses n.e.c.,2010,2010,t,600,E,Estimated value,
QCL,Crops and livestock products,008,Albania,5510,Production,01699,"Other stimulant, spice and aromatic crops, n.e.c.",2010,2010,t,285.58,I,Imputed value,
QCL,Crops and livestock products,008,Albania,5510,Production,01349.20,Other stone fruits,2010,2010,t,0,M,"Missing value (data cannot exist, not applicable)",
QCL,Crops and livestock products,008,Albania,5510,Production,01290.90,"Other vegetables, fresh n.e.c.",2010,2010,t,14949,A,Official figure,
QCL,Crops and livestock products,008,Albania,5510,Production,01345,Peaches and nectarines,2010,2010,t,11525,A,Official figure,
QCL,Crops and livestock products,008,Albania,5510,Production,01342.01,Pears,2010,2010,t,7326,A,Official figure,
